gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
RAB3B,367.0433003004005,-3.181708316895705,0.23214790093867016,5.663293641785258e-54,1.0252449256178578e-50,LSvsNL,down
PCSK9,126.78317580961645,1.573619445254162,0.2585099627720527,4.483754336886844e-12,9.952835069604544e-11,LSvsNL,up
CYP2J2,729.527949584578,-1.7248480066737424,0.1766180609699249,1.4517766043395065e-26,2.920221754876985e-24,LSvsNL,down
FPGT-TNNI3K,34.593005290397386,-1.0881621875100875,0.23901740274954075,8.03563424239283e-8,7.477132422119153e-7,LSvsNL,down
IFI44,182.02307738163526,1.3111304872220655,0.2587062170798337,5.85928701131891e-9,6.872956319324622e-8,LSvsNL,up
LINC01725,144.6759464368526,-1.5418665618003426,0.16984730111018156,1.7151786448072143e-22,2.0104608388376937e-20,LSvsNL,down
GBP5,59.026655785042884,1.4356554863723618,0.38590178012770654,4.2217790284198754e-7,3.273938396480011e-6,LSvsNL,up
GBP6,212.22100064159483,1.360618447941357,0.29676478743836987,2.706416110747375e-8,2.768087739636345e-7,LSvsNL,up
BCAR3,376.46575382841763,-1.3885063885611884,0.16598141395785068,1.586764322022712e-19,1.2489444975225143e-17,LSvsNL,down
F3,1786.2047768847717,-1.763197847070312,0.18264291396670188,1.826122586632639e-26,3.584700639036818e-24,LSvsNL,down
RNPC3,2136.2756887430055,-1.0057386844428169,0.12791422225050358,2.0386439559828354e-17,1.2122491231689175e-15,LSvsNL,down
GSTM2,449.66265123913905,-1.228591165853366,0.1664948332939802,5.565800581438549e-16,2.561683301507861e-14,LSvsNL,down
CHI3L2,2165.6020948979026,1.641097727928381,0.40661586198361516,1.1543357806700695e-7,1.0350904168661223e-6,LSvsNL,up
PIFO,66.201579111274,-1.0886275156747622,0.27633538861547874,5.176277656362e-7,3.953918980548808e-6,LSvsNL,down
TMIGD3,17.736805685373014,1.5640629802762493,0.43098011824461074,1.5618756029688334e-6,1.0678824674431894e-5,LSvsNL,up
WNT2B,802.5447557255495,-1.0605643506344284,0.11392389736805947,2.6278597819094416e-22,3.058265673332181e-20,LSvsNL,down
TAFA3,10.612570356597779,2.151406633466863,0.3732026104907092,3.371033492933261e-11,6.431410854843281e-10,LSvsNL,up
SYT6,23.05745925899544,1.145878437164398,0.4709648270626414,1.9306760550520248e-4,7.977810034228414e-4,LSvsNL,up
NGF,18.33841148533706,1.1274752338490566,0.3928954168043565,4.154563872473415e-5,2.030912366462927e-4,LSvsNL,up
NHLH2,115.22908761602706,-1.2392338916070804,0.22991724150778078,1.4561749147991808e-10,2.4688301651220657e-9,LSvsNL,down
LINC01762,23.73570002182907,-1.7032258354281424,0.22186390977212622,3.056811543922017e-17,1.778736803040051e-15,LSvsNL,down
CD2,126.09550576062803,1.3035948584194057,0.3384878407472536,7.585364145933686e-7,5.549543692397734e-6,LSvsNL,up
HSD3B1,348.5930594131459,1.3540953111948444,1.0448993959251505,5.019165879340788e-5,2.4087561022709708e-4,LSvsNL,up
HMGCS2,312.12244276588683,-1.1030128850219574,0.2941226044406163,1.1528929245522606e-6,8.081752947942696e-6,LSvsNL,down
PDZK1,70.09351095203444,-1.1659823170922348,0.4374918871583685,2.8028424069275172e-5,1.430213320891639e-4,LSvsNL,down
RPL7AP15,4.872168170408115,-2.228412345444994,0.5902711655899602,2.2051929517164043e-7,1.8425235262725834e-6,LSvsNL,down
GJA5,35.73002005188683,1.4869025552670159,0.4689664585010964,5.7531290567308916e-6,3.4601599011191e-5,LSvsNL,up
U4,30.58174392723039,-1.0473912468379396,0.16661981988692715,6.2055517097170745e-12,1.3409423608278554e-10,LSvsNL,down
RORC,574.6003970870581,-1.121268715205076,0.1793637039926756,2.121021871644104e-12,5.067127471363253e-11,LSvsNL,down
FLG2,54896.79539335319,-1.135449295721801,0.15363334764960454,2.5574294979085513e-16,1.2742568443248937e-14,LSvsNL,down
LCE3E,4830.893062511082,4.476007974998167,0.29337768998438934,1.0505777976237325e-63,3.423412811336694e-60,LSvsNL,up
LCE3D,27243.597558141617,3.8486383354085043,0.26148530583226004,1.8387050953190838e-60,3.744752764754229e-57,LSvsNL,up
LCE3C,781.5294996353852,5.197458618128704,0.7833261518303241,3.1002140660405236e-24,4.765262997924363e-22,LSvsNL,up
LCE3A,3451.132508023197,7.276776409452316,0.4729099650474249,3.767691181024467e-82,6.138699241243164e-78,LSvsNL,up
IVL,9307.743715172532,1.4710729506344122,0.14271745809189926,4.207458432036993e-27,9.390701401805304e-25,LSvsNL,up
SPRR1B,16109.340888460243,3.494145847899723,0.2763965181235868,2.632363198012147e-47,3.0635066846579934e-44,LSvsNL,up
SPRR2D,5178.9979328193685,2.718534697875788,0.3499153493605291,1.0384576946375799e-21,1.1509925999136115e-19,LSvsNL,up
SPRR2A,3830.5268445864617,6.55603252713216,0.5733093080529826,1.1825367391541264e-52,1.926707109103818e-49,LSvsNL,up
SPRR2B,2867.1384319619115,4.603814156955887,0.4802910109566936,1.1379304400207479e-36,5.618272927047893e-34,LSvsNL,up
SPRR2E,24126.49572288144,1.8295614222294436,0.22894863363885296,8.632739583816537e-20,6.963030992035784e-18,LSvsNL,up
SPRR2F,383.2170451736066,6.835587767000817,0.7266931141018684,6.287489022480544e-41,4.596886873219228e-38,LSvsNL,up
SPRR2G,20753.49634949864,2.3037400570604656,0.3574731362287244,1.5788373988907522e-16,8.166348488929214e-15,LSvsNL,up
LORICRIN,15144.87653226523,-1.3398121753307757,0.20508299062642726,4.7654740623725985e-14,1.5375023544205297e-12,LSvsNL,down
S100A9,43209.11318896411,6.638889072386835,0.4807975345135787,7.761281543963313e-70,3.161364004894856e-66,LSvsNL,up
S100A12,136.33296207922203,7.046983715759269,0.7226192006977854,7.897921100525523e-38,4.7659566107726794e-35,LSvsNL,up
S100A8,66764.60484602969,6.521497324073634,0.5253967291791826,1.1264236188678019e-61,2.6218314317447278e-58,LSvsNL,up
S100A7A,4597.298924609241,8.034234279478266,0.8259308698656187,5.606306122513678e-50,7.026426588778105e-47,LSvsNL,up
S100A7,52611.66065526435,4.342319471529039,0.4308328746491359,7.846898680447447e-37,3.9952975062665706e-34,LSvsNL,up
S100A2,14946.561934814472,1.9184438310562322,0.2077067843504428,4.126919315911103e-24,6.1687978361595955e-22,LSvsNL,up
GBAP1,332.6967913952671,1.4649478744409934,0.1466269218083059,3.611159611041724e-25,6.065631293062145e-23,LSvsNL,up
SH2D2A,21.917919715935945,2.3795313119684827,0.2970292131610115,1.9719794832703502e-18,1.316781218070648e-16,LSvsNL,up
CD1D,15.775299106316242,1.563251491182244,0.6788816627569284,6.865040996446087e-5,3.1821369261762756e-4,LSvsNL,up
CD1B,198.57268806736562,2.222515780714788,0.45026301914679273,1.7557048835306797e-10,2.9369301506535283e-9,LSvsNL,up
PYHIN1,15.029850198758428,1.3647996663492188,0.4133032854533735,5.648255384036351e-6,3.407146426216374e-5,LSvsNL,up
AIM2,26.966456697512715,2.482601991782852,0.37481314648274855,1.9632390657968774e-15,8.139199516292245e-14,LSvsNL,up
RPSAP18,10.893309503243412,-1.3877731035145027,0.35888785830671516,1.9018207876014816e-6,1.2754224558120503e-5,LSvsNL,down
NHLH1,13.781540318343787,-1.3767290389412,0.3084383581920464,4.783541905362122e-8,4.661378484692886e-7,LSvsNL,down
SLAMF1,41.27309711826324,1.6390201564438207,0.39220700804511766,9.833677601276957e-8,8.960856216868315e-7,LSvsNL,up
CD48,29.01465340811864,1.0415559478893566,0.3669184690268986,5.233921062105534e-5,2.49930468537179e-4,LSvsNL,up
SLAMF7,168.1619546736155,1.838199309029177,0.2663487040629535,2.948514994259498e-14,9.925651818485538e-13,LSvsNL,up
LY9,36.47446093212838,1.0427595288949971,0.38605236945907806,1.1337342782782312e-4,4.997117014577501e-4,LSvsNL,up
CD244,12.226056793151209,1.5557971571081413,0.6264078660154634,3.404692015320584e-5,1.7016149388226465e-4,LSvsNL,up
ADAMTS4,42.94710671328999,1.7023404447277384,0.3042484097091198,1.2388122519884466e-11,2.5356743745788647e-10,LSvsNL,up
FCER1G,576.9312316232487,1.1418679923142443,0.20672760527460984,3.472136458150476e-10,5.3695021407079605e-9,LSvsNL,up
PCP4L1,232.05619538696223,1.0046010934087541,0.25637863124265026,2.943261462751646e-6,1.9128264464544303e-5,LSvsNL,up
CD247,39.61380734129721,1.3777711614377437,0.316362370483714,1.2879212793078205e-7,1.1404402936827347e-6,LSvsNL,up
SELP,132.51653950756244,1.3523400644005925,0.3452627016282375,8.837667349387597e-7,6.36569912128966e-6,LSvsNL,up
SELL,104.27719183560939,1.5311607343210802,0.3840115251989874,2.5956403106091563e-7,2.128904398916539e-6,LSvsNL,up
SELE,149.02749045997555,2.5815837597764055,0.38989925626549493,1.0065365387416338e-15,4.4322972501939025e-14,LSvsNL,up
FMO3,22.26468136357866,1.0829761251275616,0.30018559177155024,4.015752143519911e-6,2.5271784346994945e-5,LSvsNL,up
FMO2,498.3290747835501,2.693254177022375,0.34113297288269523,6.995337359864456e-21,6.784228071682833e-19,LSvsNL,up
C1orf105,20.440709662466325,-1.732336481709676,0.3154097269215696,9.888841212592251e-11,1.723196683173963e-9,LSvsNL,down
QSOX1,1580.980240972504,1.222087103117086,0.11404192075349648,1.8121666797369908e-28,4.542404878916122e-26,LSvsNL,up
RGS18,19.074362578548737,1.9230955322961565,0.4180546971648038,6.9990985026725654e-9,8.053411857630233e-8,LSvsNL,up
RGS1,94.31188359356533,2.1221906638752657,0.38247724804448086,3.609905512572872e-12,8.226040631657315e-11,LSvsNL,up
KIF14,81.34652781306494,1.1214223428361951,0.2008050218179921,1.7474875619949657e-9,2.3356697988173893e-8,LSvsNL,up
KIF21B,16.45589946638549,1.2853764324276709,0.3470420086931414,9.636842672316768e-7,6.8624596879395585e-6,LSvsNL,up
ELF3,448.12003564518943,1.3756274883664044,0.20967700850117452,1.3843618795183457e-13,4.131027125090184e-12,LSvsNL,up
PTPN7,159.57092819039693,1.163254710564576,0.3081092156921774,1.8672264993019492e-6,1.2540280854545202e-5,LSvsNL,up
REN,20.22278134649687,2.5769444496595804,0.5122134426590973,1.8799448849503562e-10,3.1159656165306365e-9,LSvsNL,up
CNTN2,35.21581915678062,-1.7450641424036433,0.30702739575407895,5.1389859332895224e-12,1.1299527369917164e-10,LSvsNL,down
BLACAT1,13.197662160265383,2.8143977995258624,0.4561941043203583,2.4174866611350582e-14,8.257465444417926e-13,LSvsNL,up
PM20D1,1585.9046594564204,-1.6701069526649965,1.130883861162413,2.216488025609879e-6,1.469810313441667e-5,LSvsNL,down
SLC26A9,253.64353717126426,1.53342180403777,0.2524912211346042,2.2020379615774426e-12,5.2529728415785175e-11,LSvsNL,up
DYRK3,41.91981151690818,1.0001233682763815,0.2878536138317952,1.0950759792909673e-5,6.160936785423939e-5,LSvsNL,up
FCMR,86.3730195963975,1.2741424652048337,0.2217104051399539,8.101183258862618e-11,1.4331441784652403e-9,LSvsNL,up
LINC01698,51.73557652469666,-1.136891138902852,0.5116342298689923,2.1125555913533516e-4,8.646035732208028e-4,LSvsNL,down
HSD11B1,701.2783039116651,-2.7607293493769642,0.3124778716096668,4.9712350731219383e-26,9.309923338663879e-24,LSvsNL,down
ADORA2BP1,7.157852434471157,-1.8098640662609728,0.4571027040238846,2.4583746288219857e-7,2.038386657882779e-6,LSvsNL,down
NEK2,172.9379734338193,1.1277218810335154,0.25697308388411966,2.506457997456389e-7,2.071384831214577e-6,LSvsNL,up
STUM,105.03662832357111,-1.6956135597145905,0.2369082927013406,4.920453422945266e-16,2.2971045163337314e-14,LSvsNL,down
FAM96AP2,27.510205031906168,1.434574509542384,0.2628602362290994,1.1786755698169778e-10,2.02575538597342e-9,LSvsNL,up
ACTA1,195.37288559795894,-1.2094446148782183,0.9524139758531064,1.2249699534442755e-4,5.34219364332644e-4,LSvsNL,down
GNG4,21.635080463007675,1.8183855087301553,0.4847179694097366,1.6820220577948836e-7,1.450009808870478e-6,LSvsNL,up
SCCPDH,1090.4815119154582,-1.1557948455677658,0.12025486739881633,1.2265772373235257e-23,1.651621729562992e-21,LSvsNL,down
LINC01341,15.524124484660538,-1.1810702953698426,0.2993635417972857,1.8430424584741727e-6,1.2388073752442119e-5,LSvsNL,down
GCSAML,12.150838475284383,1.6234585298677127,0.474236359561841,1.6692920969562013e-6,1.1351325599210095e-5,LSvsNL,up
OR2T34,20.280313849076983,-2.56836404440142,0.5741730600654096,1.9686348860699532e-10,3.2431717086691355e-9,LSvsNL,down
OR2T11,11.649707526300997,-2.4894119040007863,0.7352538896840293,3.6479505715218276e-7,2.869920746586438e-6,LSvsNL,down
CMPK2,53.249364602784475,1.047497603950243,0.33129587981249775,4.138703200006796e-5,2.0249817188501722e-4,LSvsNL,up
RSAD2,103.1312330932999,1.775257061551041,0.4932893030975082,4.125979078013226e-7,3.207279442655987e-6,LSvsNL,up
GRASLND,7.175863105447193,1.2614095171588053,0.4264139833513175,5.2334072942643595e-5,2.49930468537179e-4,LSvsNL,up
LINC01871,17.609557918051987,1.5126120177880904,0.3651122347812266,1.3150746893312441e-7,1.1632199735762192e-6,LSvsNL,up
RRM2,977.9094898188614,1.5613233501506187,0.1555435788234235,1.2496248968512893e-25,2.1892621983223716e-23,LSvsNL,up
VSNL1,1442.0733779852192,1.2735243533720237,0.13608652052536777,3.197821225344879e-23,4.102527655475914e-21,LSvsNL,up
MFSD2B,54.90164645663264,1.5190816113698793,0.16959190749364839,3.821492757482581e-22,4.35409660822823e-20,LSvsNL,up
EFR3B,205.54348849315195,1.4472005270012613,0.21193956180054302,3.191961447661628e-14,1.0642669226704366e-12,LSvsNL,up
OTOF,16.01347636464872,-2.2194215016767727,0.4881844674825842,1.4705397128002257e-9,2.003302971626595e-8,LSvsNL,down
CENPA,128.3142514210356,1.031948288580658,0.18983455923163753,1.612609766168132e-9,2.1750207715378622e-8,LSvsNL,up
UCN,30.099541684270964,-1.002244471075946,0.23185744258085736,4.525101033887341e-7,3.489231951970016e-6,LSvsNL,down
SLC8A1,266.25149582402713,-1.5240156199168646,0.20550588856971988,4.388107337033306e-16,2.0783556058803387e-14,LSvsNL,down
FTOP1,89.33685384629459,-1.0592961636771965,0.15439643761616959,1.728239263261693e-13,5.01928740041404e-12,LSvsNL,down
SLC3A1,87.60379808534499,-1.0625667405184462,0.158956221679934,3.4672024135019526e-13,9.542420426214074e-12,LSvsNL,down
CHAC2,95.95225912069897,1.2596376407062577,0.23342835253926653,1.8863011644464165e-9,2.504768123253909e-8,LSvsNL,up
LINC01805,301.7015007379978,-1.3113805813636568,0.1664415626258618,2.474420463107105e-18,1.6256343792501638e-16,LSvsNL,down
PLEK,431.5934999817088,1.3459163982647646,0.30875581973867255,1.571086255083884e-7,1.3673989505385535e-6,LSvsNL,up
MXD1,1155.0195713804358,1.6730110173353288,0.17266040346288727,2.7419145523267477e-25,4.653543104277052e-23,LSvsNL,up
HK2,653.73833175273,1.2629902531889912,0.2020858706941369,1.5086197358695484e-12,3.707381803397067e-11,LSvsNL,up
TRABD2A,37.57953071254918,1.0225176294107075,0.325667463850964,7.499955062262847e-5,3.4344229294392515e-4,LSvsNL,up
GNLY,130.61210073185018,1.5168441036064353,0.28610673990178564,3.285612945067914e-10,5.1129409468950835e-9,LSvsNL,up
LINC01943,16.243976974820626,1.5332049036059268,0.3865478386272496,2.890151583662101e-7,2.333460840069703e-6,LSvsNL,up
LINC00342,504.66239037797754,-1.0076923342172062,0.11398873105528964,1.1951065908398902e-20,1.1190730853192146e-18,LSvsNL,down
ANKRD36C,1243.5062101186077,-1.0165634139000337,0.10660356409361985,1.6539359809742246e-23,2.2088179457387735e-21,LSvsNL,down
NCAPH,238.66080642043386,1.161778176991465,0.20132620545898341,2.9325357293623493e-10,4.661444354975684e-9,LSvsNL,up
IL1RL1,44.631027416067,2.8051308350207247,0.5940405668352775,4.840308237903959e-10,7.255118870300755e-9,LSvsNL,up
IL18RAP,8.370319654177694,1.804282228990955,0.5232940281451643,2.1103165564726332e-6,1.4039766294246065e-5,LSvsNL,up
LINC01102,11.30226384530681,-1.6745274989060526,0.42821571288475574,2.5916953763590546e-7,2.1272792325953693e-6,LSvsNL,down
POU3F3,7.521080402094297,-1.0054299200047776,0.44110438164485893,4.947174927163959e-4,0.0018170496187620013,LSvsNL,down
CD8B2,45.054312767461866,1.8115649527564264,0.32785135423894823,4.441720967472857e-11,8.280201341308382e-10,LSvsNL,up
ST6GAL2,15.042463761669836,-1.685904249039256,0.6874454999363003,1.094676601036634e-5,6.160817223036228e-5,LSvsNL,down
LINC01886,8.228576432713469,3.063331970995324,0.5231321040269327,3.85778046609829e-14,1.262144922372278e-12,LSvsNL,up
BUB1,245.2241232039439,1.1391027824161692,0.212853535180014,3.3190863140778402e-9,4.143898338334885e-8,LSvsNL,up
IL37,1997.6561161939494,-2.4602587802468605,0.26231072548626067,1.6345675890522961e-28,4.1612515200670406e-26,LSvsNL,down
IL36G,1649.3171840654145,2.0821194326181693,0.18137149103647712,1.0030336915830733e-34,4.3006389307797405e-32,LSvsNL,up
IL36RN,4346.658613036336,1.1460687500343314,0.12852954724243643,1.0043496209878469e-20,9.569513669447362e-19,LSvsNL,up
PROC,14.031316179227078,1.057266993811926,0.3708723934562427,9.085424714877087e-5,4.0959829795100274e-4,LSvsNL,up
MYO7B,156.21680689468482,-1.946752250855538,0.27200519557185526,7.745538606611676e-17,4.249092946717981e-15,LSvsNL,down
CXCR4,81.50476813133619,1.1784762545309297,0.41761858399723684,3.1543663219842136e-5,1.5943810830345795e-4,LSvsNL,up
KYNU,156.91804645884258,1.5680357745337064,0.2991072602783647,1.3473387051514627e-9,1.8478274009286856e-8,LSvsNL,up
GALNT5,39.50924226950014,1.3456838813485659,0.26178164747389077,4.893820280471474e-9,5.8499643308673314e-8,LSvsNL,up
DPP4,519.5951507360469,1.495139698322653,0.1979543300908453,1.986570789193767e-16,1.0020804293601871e-14,LSvsNL,up
SPC25,193.7676779606441,1.2519381691729359,0.194095736280243,4.448997659518469e-12,9.899982682678626e-11,LSvsNL,up
ABCB11,33.314026580441784,-1.740410004251919,0.2705752612265908,9.815766399882337e-14,2.9726446459718013e-12,LSvsNL,down
DHRS9,371.0098561294989,1.2742382141084347,0.3396799647383294,2.4757782811885673e-7,2.048646802204435e-6,LSvsNL,up
LINC01124,16.641105446010148,-1.5513334426073817,0.4497342321961726,2.1922168017266287e-6,1.4554925978211883e-5,LSvsNL,down
FSIP2,40.11968390400371,-1.1104347551707638,0.2736977526858875,1.04657947441897e-6,7.401006673918523e-6,LSvsNL,down
LINC01473,213.1977294978288,-1.197515234329387,0.18203090526542906,5.794762249614889e-13,1.525267549805741e-11,LSvsNL,down
CD28,22.8086286787018,1.8449429083910862,0.41680446621579353,1.3823583041604319e-8,1.4965291594475692e-7,LSvsNL,up
ICOS,16.632060084693713,1.8583323386922486,0.5521356519601132,1.1836290634668207e-6,8.283878149082864e-6,LSvsNL,up
NRP2,232.06888288304353,1.0045345626846836,0.22461118990274634,1.2663653720219165e-7,1.124408229229051e-6,LSvsNL,up
ADAM23,43.368937325020255,2.3197054566102584,0.32814681673526774,4.40915801053662e-16,2.082272796106468e-14,LSvsNL,up
MYOSLID,17.71219022551847,1.0036590936750873,0.29741853692036263,3.4001719349577154e-5,1.699877303966433e-4,LSvsNL,up
ACADL,110.47759955449074,-1.4481664946543387,0.22244207316085707,8.506743745911054e-14,2.600382286156263e-12,LSvsNL,down
ERBB4,44.297093316960044,-2.5388372354015396,0.3285935777345691,2.0999471460356943e-20,1.869641467232763e-18,LSvsNL,down
LINC02862,6.159538001581268,-1.4204111472723573,0.5074993324915323,2.5334509055139284e-5,1.3066639950471174e-4,LSvsNL,down
RUFY4,20.50456091092959,3.8340018489269436,0.6266097135614838,1.0900517779869432e-17,6.830851391823564e-16,LSvsNL,up
CXCR1,79.01066253086223,2.755488760199444,0.293582045512168,1.6515002955873344e-25,2.8625419485111104e-23,LSvsNL,up
GPBAR1,34.31827679413739,1.3797504685533117,0.3557252262958889,4.787880843992867e-7,3.6831417654001787e-6,LSvsNL,up
VIL1,7.565879619918335,-1.8343139019563703,0.6883198414706369,1.3777368683603302e-5,7.601580357668425e-5,LSvsNL,down
PLCD4,100.55762074082519,1.2601586251114185,0.2457041683598987,5.1833734294920965e-9,6.155444845970461e-8,LSvsNL,up
DES,600.4506404059292,-2.2372175193136967,0.7023854839781751,4.9256780351399504e-8,4.771347932612082e-7,LSvsNL,down
AP1S3,37.12238194164811,1.1936654676347551,0.16770688184633176,4.0766255473236816e-14,1.3310713435379708e-12,LSvsNL,up
CCL20,58.94997064726504,1.287972014104797,0.5815484588973674,1.0340588383962488e-4,4.6070332660623687e-4,LSvsNL,up
LINC00471,23.07840334774755,-1.0035390144384426,0.2295756711392853,5.815151681363325e-7,4.380317445420835e-6,LSvsNL,down
NPPC,22.788712350835556,1.2029445058834638,0.600767991778157,1.475172721691604e-4,6.296827129819571e-4,LSvsNL,up
UGT1A7,195.35286936356943,2.4096595664142395,0.34020567537235297,1.819325490658941e-16,9.32146862242331e-15,LSvsNL,up
MROH2A,35.51072868547335,-1.3580725570084147,0.31898494795433346,7.363351094081215e-8,6.910776461743389e-7,LSvsNL,down
COL6A3,1576.359700461532,1.023038563171466,0.18851918101252402,6.666559500808494e-10,9.706725106941268e-9,LSvsNL,up
HES6,75.35961106297941,1.0864177470541247,0.2181082951163762,2.689825127605518e-8,2.7545770461393275e-7,LSvsNL,up
BHLHE40,1386.3930009564758,1.3185577399562156,0.28231629084982945,7.4072710713932615e-9,8.469239829207748e-8,LSvsNL,up
SSUH2,29.226395016104778,1.3119782386961634,0.37716343908834166,3.934671903400795e-6,2.4838283348356898e-5,LSvsNL,up
CPNE9,28.754687945211785,-1.6245338010209,0.3100982594602762,5.947130207904992e-10,8.753079717921955e-9,LSvsNL,down
