gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
F3,1786.2047768847717,-1.7631898796495353,0.18263920852457458,1.8204610884966262e-26,3.5626204169217715e-24,LSvsNL,down
RNPC3,2136.2756887430055,-1.005718296294452,0.12791779332660227,2.0397838597846764e-17,1.2092047165869526e-15,LSvsNL,down
GSTM2,449.66265123913905,-1.2285820123594822,0.16649859874230327,5.567524362731718e-16,2.55461294417659e-14,LSvsNL,down
CHI3L2,2165.6020948979026,1.6410403362982453,0.40663545375561716,1.1543357806700695e-7,1.0336205118756306e-6,LSvsNL,up
PIFO,66.201579111274,-1.0885440492408107,0.27636714085659736,5.181256086455514e-7,3.9529893195066655e-6,LSvsNL,down
TMIGD3,17.736805685373014,1.5639863631664737,0.4310512427402581,1.5644897160051406e-6,1.0677313637425e-5,LSvsNL,up
WNT2B,802.5447557255495,-1.060538896760974,0.11392949270268868,2.6358269610237666e-22,3.058124094850646e-20,LSvsNL,down
TAFA3,10.612570356597779,2.151415372701839,0.37328229757514325,3.393683551370094e-11,6.447204903497595e-10,LSvsNL,up
SYT6,23.05745925899544,1.1456693353371197,0.47108707398890415,1.93187112222517e-4,7.972404125585222e-4,LSvsNL,up
NGF,18.33841148533706,1.1272570970373492,0.3929955572001937,4.160142599802753e-5,2.030444598815989e-4,LSvsNL,up
NHLH2,115.22908761602706,-1.2391901932405016,0.22993233865006105,1.4577829053466468e-10,2.4665383053693314e-9,LSvsNL,down
LINC01762,23.73570002182907,-1.7032076655029316,0.22190154985357136,3.0884170407655875e-17,1.791612785469837e-15,LSvsNL,down
CD2,126.09550576062803,1.303546656783456,0.3385039557288866,7.581997492886575e-7,5.537517323604166e-6,LSvsNL,up
HSD3B1,348.5930594131459,1.3534746390095669,1.0457617482080728,5.019165879340788e-5,2.4049059403578887e-4,LSvsNL,up
HMGCS2,312.12244276588683,-1.1029432180696315,0.2941359131069823,1.1519564507136923e-6,8.065184753854529e-6,LSvsNL,down
PDZK1,70.09351095203444,-1.1658242148765918,0.437563981945505,2.8026514179365174e-5,1.4275154274550911e-4,LSvsNL,down
RPL7AP15,4.872168170408115,-2.2283197430627606,0.5904590620250042,2.2166881389233678e-7,1.8492894422461358e-6,LSvsNL,down
GJA5,35.73002005188683,1.4868228495261215,0.46901740054603364,5.755546312240252e-6,3.454816657417532e-5,LSvsNL,up
U4,30.58174392723039,-1.0487451236739442,0.16666837947080584,6.262926439022349e-12,1.3491871903055706e-10,LSvsNL,down
RORC,574.6003970870581,-1.12124072412232,0.1793672105263924,2.1200525285620072e-12,5.049268800796581e-11,LSvsNL,down
FLG2,54896.79539335319,-1.1354305782928615,0.153632870799744,2.5534260570736595e-16,1.2683577811941117e-14,LSvsNL,down
LCE3E,4830.893062511082,4.476006221927935,0.29337786643029967,1.0505777976237325e-63,3.412907033360457e-60,LSvsNL,up
LCE3D,27243.597558141617,3.8486361904970736,0.26148551934101466,1.8387050953190838e-60,3.7332608579084846e-57,LSvsNL,up
LCE3C,781.5294996353852,5.197463323079597,0.7833275382217462,3.1002140660405236e-24,4.750639346669455e-22,LSvsNL,up
LCE3A,3451.132508023197,7.276775331890139,0.47291006317443857,3.767691181024467e-82,6.119860785338041e-78,LSvsNL,up
IVL,9307.743715172532,1.4710642518981312,0.14271658062986756,4.2005350205086446e-27,9.346478128509852e-25,LSvsNL,up
SPRR1B,16109.340888460243,3.4941426586794875,0.27639688024025316,2.632363198012147e-47,3.054105387522236e-44,LSvsNL,up
SPRR2D,5178.9979328193685,2.71852403293787,0.3499173479316744,1.0384576946375799e-21,1.147460430884232e-19,LSvsNL,up
SPRR2A,3830.5268445864617,6.556030364061482,0.5733095963519985,1.1825367391541264e-52,1.9207944254080474e-49,LSvsNL,up
SPRR2B,2867.1384319619115,4.603809763741502,0.48029166253047145,1.1379304400207479e-36,5.601031556744548e-34,LSvsNL,up
SPRR2E,24126.49572288144,1.8295530830759132,0.22893869648235957,8.594631414861989e-20,6.9110197065150145e-18,LSvsNL,up
SPRR2F,383.2170451736066,6.835597504094862,0.72669389967482,6.287489022480544e-41,4.5827799350457205e-38,LSvsNL,up
SPRR2G,20753.49634949864,2.3037223769152133,0.35747692624196015,1.5788373988907522e-16,8.14128757783571e-15,LSvsNL,up
LORICRIN,15144.87653226523,-1.339792452851984,0.20507855068659475,4.7535960962526337e-14,1.528963591909535e-12,LSvsNL,down
S100A9,43209.11318896411,6.638889546470221,0.4807970536502132,7.761281543963313e-70,3.151662402964902e-66,LSvsNL,up
S100A12,136.33296207922203,7.046985333700027,0.722619626934261,7.897921100525523e-38,4.751330830956892e-35,LSvsNL,up
S100A8,66764.60484602969,6.521495504409039,0.5253969707238246,1.1264236188678019e-61,2.613785548752815e-58,LSvsNL,up
S100A7A,4597.298924609241,8.034232394069836,0.8259321609719567,5.606306122513678e-50,7.004863872922284e-47,LSvsNL,up
S100A7,52611.66065526435,4.342315364064459,0.4308334529804502,7.846898680447447e-37,3.983036727078371e-34,LSvsNL,up
S100A2,14946.561934814472,1.9184375873589208,0.20769824841431972,4.106838756175028e-24,6.11994329509642e-22,LSvsNL,up
GBAP1,332.6967913952671,1.4649366823231245,0.1466317757901722,3.620574056891708e-25,6.06278189753526e-23,LSvsNL,up
SH2D2A,21.917919715935945,2.380283665235242,0.2971165975201861,1.9878051912038707e-18,1.3232753983903473e-16,LSvsNL,up
CD1D,15.775299106316242,1.5629959452713726,0.6790510212488584,6.845796079520669e-5,3.1714228249156125e-4,LSvsNL,up
CD1B,198.57268806736562,2.2225042107480895,0.4502705480138554,1.7557048835306797e-10,2.9309264566483898e-9,LSvsNL,up
PYHIN1,15.029850198758428,1.364698748718467,0.41338919870882773,5.659213922747958e-6,3.408328207163333e-5,LSvsNL,up
AIM2,26.966456697512715,2.4825474246316666,0.3748447537141343,1.9711003146981266e-15,8.146713081842665e-14,LSvsNL,up
RPSAP18,10.893309503243412,-1.389027735408621,0.3589875834707917,1.9078199565928906e-6,1.276306406710804e-5,LSvsNL,down
NHLH1,13.781540318343787,-1.3789752470922378,0.308290344123562,4.8027404517840316e-8,4.6685166462195107e-7,LSvsNL,down
SLAMF1,41.27309711826324,1.638960997139364,0.3922356613566636,9.840543744061297e-8,8.949605377087774e-7,LSvsNL,up
CD48,29.01465340811864,1.0413851407882293,0.36699948712204306,5.239113890328788e-5,2.499234270796197e-4,LSvsNL,up
SLAMF7,168.1619546736155,1.838182973059199,0.266347992197079,2.9458580764815123e-14,9.88627535873744e-13,LSvsNL,up
LY9,36.47446093212838,1.041798143801528,0.3860800326706069,1.1343725761441585e-4,4.993428889751631e-4,LSvsNL,up
